x,y,z
-2744.97314453125,349.6662902832031,-4410.25146484375
-2745.064697265625,349.66571044921875,-4409.787109375
-2745.0751953125,349.66937255859375,-4409.70751953125
-2745.0234375,349.676025390625,-4409.90576171875
-2744.973876953125,349.6789245605469,-4410.091796875
-2744.92724609375,349.6776428222656,-4410.26611328125
-2744.8857421875,349.6741638183594,-4410.42724609375
-2744.851318359375,349.6701965332031,-4410.57275390625
-2744.824951171875,349.66680908203125,-4410.70166015625
-2744.80615234375,349.6646728515625,-4410.8154296875
-2744.794677734375,349.6637878417969,-4410.91455078125
-2744.7900390625,349.6638488769531,-4410.9970703125
-2744.791259765625,349.6643371582031,-4411.064453125
-2744.7978515625,349.6647033691406,-4411.1181640625
-2744.808837890625,349.6649475097656,-4411.158203125
-2744.82421875,349.6650085449219,-4411.18408203125
-2744.8447265625,349.66473388671875,-4411.197265625
-2744.856689453125,349.6641540527344,-4411.24853515625
-2744.872802734375,349.6639709472656,-4411.2841796875
-2744.8916015625,349.66400146484375,-4411.306640625
-2744.914306640625,349.6640319824219,-4411.31640625
-2744.943115234375,349.66387939453125,-4411.3125
-2744.978271484375,349.66375732421875,-4411.29443359375
-2745.019287109375,349.6641845703125,-4411.27099609375
-2745.066650390625,349.6646728515625,-4411.244140625
-2745.12158203125,349.6649475097656,-4411.2138671875
-2745.184814453125,349.66522216796875,-4411.1767578125
-2745.257568359375,349.6656188964844,-4411.130859375
-2745.33935546875,349.6658935546875,-4411.07568359375
-2745.429931640625,349.6658630371094,-4411.00830078125
-2745.5244140625,349.6654968261719,-4410.9296875
-2745.615966796875,349.66485595703125,-4410.837890625
-2745.711181640625,349.6640930175781,-4410.73876953125
-2745.8076171875,349.6631774902344,-4410.6376953125
-2745.90234375,349.6623229980469,-4410.53857421875
-2745.99755859375,349.66168212890625,-4410.439453125
-2746.091796875,349.6613464355469,-4410.3408203125
-2746.1875,349.6612243652344,-4410.2412109375
-2746.281005859375,349.6612854003906,-4410.1435546875
-2746.3720703125,349.66131591796875,-4410.048828125
-2746.463623046875,349.661376953125,-4409.95361328125
-2746.55419921875,349.661376953125,-4409.859375
-2746.643798828125,349.661376953125,-4409.76611328125
-2746.73095703125,349.6613464355469,-4409.6748046875
-2746.81884765625,349.66131591796875,-4409.58349609375
-2746.90576171875,349.6612854003906,-4409.4931640625
-2746.991943359375,349.6612548828125,-4409.4033203125
-2747.07666015625,349.6612243652344,-4409.3154296875
-2747.161376953125,349.66119384765625,-4409.22705078125
-2747.245849609375,349.6611633300781,-4409.13916015625
-2747.32958984375,349.6611633300781,-4409.0517578125
-2747.413818359375,349.6611633300781,-4408.96435546875
-2747.49755859375,349.6611633300781,-4408.876953125
-2747.5810546875,349.66119384765625,-4408.7900390625
-2747.663330078125,349.66119384765625,-4408.7041015625
-2747.744873046875,349.6612548828125,-4408.619140625
-2747.82568359375,349.6612854003906,-4408.53515625
-2747.906005859375,349.6613464355469,-4408.45166015625
-2747.9853515625,349.6614074707031,-4408.36865234375
-2748.064697265625,349.6614685058594,-4408.2861328125
-2748.1435546875,349.66156005859375,-4408.20458984375
-2748.22119140625,349.6616516113281,-4408.12353515625
-2748.298095703125,349.6617431640625,-4408.04345703125
-2748.375,349.6618347167969,-4407.96337890625
-2748.451904296875,349.66192626953125,-4407.88330078125
-2748.5283203125,349.66204833984375,-4407.8037109375
